-725.47,529.92,98.68
-397.94,335.75,99.98
-8.12,150.03,108.75
-12.34,182.25,108.62
10.16,153.95,109.69
12.77,169.7,109.28
24.89,174.46,109.23
27.96,157.77,109.88
47.66,155.22,110.08
85.17,169.21,107.56
106.28,188.31,106.2
118.97,187.93,105.25
-383.95,352.91,100.07
133.06,185.37,104.41
143.95,194.33,104.37
141.77,176.88,103.08
147.15,166.79,102.88
158.04,158.47,102.79
134.98,241.26,108.48
143.67,241.26,108.3
155.78,236.76,107.41
174.89,215.74,106.8
169.16,231.66,106.95
-519.62,486.41,103.42
143.65,267.1,109.89
134.01,292.45,110.12
131.11,311.77,110.59
119.52,330.13,110.94
85.8,152.04,108.51
101.6,150.03,107.74
116.41,147.58,107.15
133.06,148.86,107.1
92.79,120.9,104.85
102.33,101.19,104.44
121.89,102.68,103.96
134.33,99.97,103.62
-489.75,461.74,103.77
148.13,105.38,103.5
122.43,57.22,102.09
107.55,53.71,102.84
122.03,70.68,102.0
135.15,61.55,101.77
151.92,64.53,101.62
95.64,0.14,101.95
110.8,0.14,101.07
141.91,17.99,100.78
148.4,1.49,100.76
107.82,-9.33,100.95
-545.6,497.45,102.61
79.73,-42.84,101.21
92.18,-42.84,101.69
132.76,-49.33,101.34
118.42,-38.51,100.27
128.7,-26.06,100.01
141.42,-32.29,99.87
112.28,-106.2,100.91
120.76,-129.55,99.85
155.57,-139.75,99.76
-453.39,435.11,101.57
136.02,-160.7,99.07
50.51,-43.11,100.9
39.15,-43.65,100.87
-4.6,-27.73,100.91
-7.85,21.51,101.33
-28.41,18.8,101.41
-36.88,38.9,102.28
-8.93,52.9,101.85
6.22,61.01,101.76
-47.94,59.31,103.92
-57.81,85.45,104.85
-441.16,454.62,101.5
-68.06,115.55,105.22
43.97,133.25,109.69
43.85,121.53,109.46
43.97,109.17,108.96
30.17,108.36,108.85
44.14,96.37,108.81
59.39,97.54,108.35
74.0,101.6,108.02
87.26,105.65,107.94
-422.09,436.19,101.48
44.51,81.57,108.47
56.68,67.23,107.74
